year,Period,Country code,Target region code,Summit code,¤è¦ì,Sunnit area section,section_code,Name,code,Abundance,coverage,total_cov,r_cov
2009,P1,TW,SYU,DSH,E,E05,2009TWSYUDSHE05,¥É¤s½b¦Ë,SP41,D,75.00 ,81.50 ,61.125
2009 ,P1,TW,SYU,DSH,E,E05,2009TWSYUDSHE05,¦Ï­T,SP35,S,25.00 ,81.50 ,20.375
2009 ,P1,TW,SYU,DSH,E,E05,2009TWSYUDSHE05,¦±¨~¾v¯ó,SP31,C,50.00 ,81.50 ,40.75
2009 ,P1,TW,SYU,DSH,E,E05,2009TWSYUDSHE05,»OÆWòÔÄª,SP26,C,50.00 ,81.50 ,40.75
2009 ,P1,TW,SYU,DSH,E,E05,2009TWSYUDSHE05,¥É¬f,SP4,S,25.00 ,81.50 ,20.375
2009 ,P1,TW,SYU,DSH,E,E05,2009TWSYUDSHE05,»OÆW©ÜÆP¯ó,SP33,R,5.00 ,81.50 ,4.075
2009 ,P1,TW,SYU,DSH,E,E05,2009TWSYUDSHE05,¶ÀªáÂÊ,SP18,S,25.00 ,81.50 ,20.375
2009 ,P1,TW,SYU,DSH,E,E05,2009TWSYUDSHE05,©êÅì±J¬WÂÊ,SP22,C,50.00 ,81.50 ,40.75
2009 ,P1,TW,SYU,DSH,E,E05,2009TWSYUDSHE05,¥§ªyº¸Å£Â­,SP45,S,25.00 ,81.50 ,20.375
2009 ,P1,TW,SYU,DSH,E,E05,2009TWSYUDSHE05,¥É¤sæùªÑ¿o,SP29,S,25.00 ,81.50 ,20.375
2009 ,P1,TW,SYU,DSH,E,E05,2009TWSYUDSHE05,­»«C,SP11,S,25.00 ,81.50 ,20.375
2009 ,P1,TW,SYU,DSH,E,E05,2009TWSYUDSHE05,¥É¤s§ùÃY,SP65,S,25.00 ,81.50 ,20.375
2009 ,P1,TW,SYU,DSH,E,E05,2009TWSYUDSHE05,ªü¨½¤sÀsÁx,SP67,R,5.00 ,81.50 ,4.075
2009 ,P1,TW,SYU,DSH,E,E05,2009TWSYUDSHE05,¥É¤s¥ÛªQ,SP5,S,25.00 ,81.50 ,20.375
2009 ,P1,TW,SYU,DSH,E,E05,2009TWSYUDSHE05,¥É¤s°wÄ©,SP23,R,5.00 ,81.50 ,4.075
2009 ,P1,TW,SYU,DSH,E,E05,2009TWSYUDSHE05,µu²ô±J¬WÂÊ,SP17,R!,1.00 ,81.50 ,0.815
2009 ,P1,TW,SYU,DSH,E,E10,2009TWSYUDSHE10,¥É¤s½b¦Ë,SP41,D,75.00 ,84.00 ,63
2009 ,P1,TW,SYU,DSH,E,E10,2009TWSYUDSHE10,¦±¨~¾v¯ó,SP31,C,50.00 ,84.00 ,42
2009 ,P1,TW,SYU,DSH,E,E10,2009TWSYUDSHE10,¦Ï­T,SP35,S,25.00 ,84.00 ,21
2009 ,P1,TW,SYU,DSH,E,E10,2009TWSYUDSHE10,©êÅì±J¬WÂÊ,SP22,S,25.00 ,84.00 ,21
2009 ,P1,TW,SYU,DSH,E,E10,2009TWSYUDSHE10,¶ÀªáÂÊ,SP18,S,25.00 ,84.00 ,21
2009 ,P1,TW,SYU,DSH,E,E10,2009TWSYUDSHE10,¥É¬f,SP4,S,25.00 ,84.00 ,21
2009 ,P1,TW,SYU,DSH,E,E10,2009TWSYUDSHE10,»OÆWòÔÄª,SP26,C,50.00 ,84.00 ,42
2009 ,P1,TW,SYU,DSH,E,E10,2009TWSYUDSHE10,¥É¤sæùªÑ¿o,SP29,S,25.00 ,84.00 ,21
2009 ,P1,TW,SYU,DSH,E,E10,2009TWSYUDSHE10,¨~,SP38,S,25.00 ,84.00 ,21
2009 ,P1,TW,SYU,DSH,E,E10,2009TWSYUDSHE10,¥É¤s¥ÛªQ,SP5,S,25.00 ,84.00 ,21
2009 ,P1,TW,SYU,DSH,E,E10,2009TWSYUDSHE10,­»«C,SP11,S,25.00 ,84.00 ,21
2009 ,P1,TW,SYU,DSH,E,E10,2009TWSYUDSHE10,¥§ªyº¸Å£Â­,SP45,S,25.00 ,84.00 ,21
2009 ,P1,TW,SYU,DSH,E,E10,2009TWSYUDSHE10,»OÆW¤T¤ò¯ó,SP40,S,25.00 ,84.00 ,21
2009 ,P1,TW,SYU,DSH,E,E10,2009TWSYUDSHE10,¨ë¬f,SP10,S,25.00 ,84.00 ,21
2009 ,P1,TW,SYU,DSH,E,E10,2009TWSYUDSHE10,¥É¤sª÷µ·®ç,SP75,S,25.00 ,84.00 ,21
2009 ,P1,TW,SYU,DSH,E,E10,2009TWSYUDSHE10,ªü¨½¤sÀsÁx,SP67,R,5.00 ,84.00 ,4.2
2009 ,P1,TW,SYU,DSH,E,E10,2009TWSYUDSHE10,³ß©¥Ûjµæ,SP90,R!,1.00 ,84.00 ,0.84
2009 ,P1,TW,SYU,DSH,N,N05,2009TWSYUDSHN05,¥É¤s½b¦Ë,SP41,D,75.00 ,75.00 ,56.25
2009 ,P1,TW,SYU,DSH,N,N05,2009TWSYUDSHN05,¦Ï­T,SP35,C,50.00 ,75.00 ,37.5
2009 ,P1,TW,SYU,DSH,N,N05,2009TWSYUDSHN05,©êÅì±J¬WÂÊ,SP22,C,50.00 ,75.00 ,37.5
2009 ,P1,TW,SYU,DSH,N,N05,2009TWSYUDSHN05,¥É¬f,SP4,S,25.00 ,75.00 ,18.75
2009 ,P1,TW,SYU,DSH,N,N05,2009TWSYUDSHN05,¦±¨~¾v¯ó,SP31,S,25.00 ,75.00 ,18.75
2009 ,P1,TW,SYU,DSH,N,N05,2009TWSYUDSHN05,¥§ªyº¸Å£Â­,SP45,R,5.00 ,75.00 ,3.75
2009 ,P1,TW,SYU,DSH,N,N05,2009TWSYUDSHN05,­»«C,SP11,S,25.00 ,75.00 ,18.75
2009 ,P1,TW,SYU,DSH,N,N05,2009TWSYUDSHN05,¶ÀªáÂÊ,SP18,R,5.00 ,75.00 ,3.75
2009 ,P1,TW,SYU,DSH,N,N05,2009TWSYUDSHN05,¨ë¬f,SP10,R,5.00 ,75.00 ,3.75
2009 ,P1,TW,SYU,DSH,N,N05,2009TWSYUDSHN05,¥É¤sæùªÑ¿o,SP29,R,5.00 ,75.00 ,3.75
2009 ,P1,TW,SYU,DSH,N,N05,2009TWSYUDSHN05,»OÆWòÔÄª,SP26,S,25.00 ,75.00 ,18.75
2009 ,P1,TW,SYU,DSH,N,N05,2009TWSYUDSHN05,¥É¤s§ùÃY,SP65,S,25.00 ,75.00 ,18.75
